id	loc	bytes	jp	en
853	13:$50E0	19	きょだいながんせきがおちてきた！	
854	13:$50F4	15	<var>はうごきがおそくなった！	
855	13:$5104	14	ふつうのはやさに もどった	
856	13:$5113	19	おおがたじらいをふんでしまった！	
857	13:$5127	21	おおがたじらいは ばくはつしなかった	
858	13:$513D	14	じらいをふんでしまった！	
859	13:$514C	20	しかし じらいは ばくはつしなかった	
860	13:$5161	14	モンスターハウスだ！！<cE7:14>	
861	13:$5170	15	どろぼうハウスだ！！<cE7:14>	
862	13:$5180	14	ドレインハウスだ！！<cE7:14>	
863	13:$518F	13	ひとつめハウスだ！！<cE7:14>	
864	13:$519D	14	ゴーストハウスだ！！<cE7:14>	
865	13:$51AC	13	パワーハウスだ！！<cE7:14>	
866	13:$51BA	13	ばんけんたいだ！！<cE7:14>	
867	13:$51C8	15	ドラゴンハウスだ！！<cE7:14>	
868	13:$51D8	10	どろぼう！！<cE7:14>	
869	13:$51E3	21	<cE0:22><cE7:5A>このままスイッチをきってください	
870	13:$51F9	21	つぎに「ぼうけんにでる」をえらぶと	
871	13:$520F	17	このつづきから はじめられます	
872	13:$5684	5	<cF0:00><br> <end>	
873	13:$568A	25	つかのながい なぎなたのようなけんだ<br><end><cF0:00>	
874	13:$56A4	28	ふうらいにんに<br>ひろくあいようされているけん<br><cF0:00><br> <end>	
875	13:$56C1	37	ドラゴンけいモンスターに<br>だいダメージをあたえるぞ<br><cF0:00><br> <end>	
876	13:$56E7	30	てんかの めいとう<br>どうたぬき ゲンマさく。<br><cF0:00><br> <end>	
877	13:$5706	47	てんさいとうこうしカブラがつくった<br>まぼろしともいえる きだいのごうけん<br><cF0:00><br> <end>	
878	13:$5736	22	ゴーストけいモンスターに<br><cF0:01><br><cF0:00><br> <end>	
879	13:$574D	69	そうびして かべをほることができるし<br>こうげきりょくも あがるぞ<br>しかし かべを なんかいか ほると<br>こわれてしまうぞ<end>	
880	13:$5793	21	かならずこうげきがあたるぞ<br><end><cF0:00>	
881	13:$57A9	21	かいしんのいちげきがでるぞ<br><end><cF0:00>	
882	13:$57BF	34	ぜんぽう3ほうこうを<br>1どにこうげきできるぞ<br><cF0:00><br> <end>	
883	13:$57E2	19	ひとつめモンスターに<br><cF0:01><br><cF0:00><br> <end>	
884	13:$57F6	25	ステータスをすいとるモンスターに<br><cF0:01><br><cF0:00><br> <end>	
885	13:$5810	22	カタナをきたえぬいてできたけんだ<br><end><cF0:00>	
886	13:$5827	33	ごうけんマンジカブラをきたえぬいて<br>できたけん<br><cF0:00><br> <end>	
887	13:$5849	89	むかし マムルのごせんぞさまが<br>つよくなるために つくったといわれる<br>でんせつのごうけん<br> <brk>しかし マムルたちには そうび<br><end>できなかったので あきらめたらしい	
888	13:$58A3	20	サビないし おなかもへりにくい<br><end><cF0:02>	
889	13:$58B8	20	せいどうで つくられた たて<br><end><cF0:02>	
890	13:$58CD	11	<cF0:02><br>サビないぞ<end>	
891	13:$58D9	17	てつで つくられた たて<br><end><cF0:02>	
892	13:$58EB	41	<cF0:02><br>ドラゴンの ほのおから うける<br>ダメージが すくなくなるぞ<br> <end>	
893	13:$5915	42	フウマてつから つくられた<br>ひじょうに ぼうぎょりょくの<br>たかいたて。<br><end><cF0:02>	
894	13:$5940	38	モンスターからの こうげきを<br>カウンターで はねかえす たて<br><cF0:02><br> <end>	
895	13:$5967	43	ぼうぎょりょくは たかいが<br>おもいせいか おなかが へりやすいぞ<br><cF0:02><br> <end>	
896	13:$5993	20	まほうこうげきをはねかえすぞ<br><end><cF0:02>	
897	13:$59A8	25	てきのこうげきが あたりにくくなるぞ<br><end><cF0:02>	
898	13:$59C2	55	ひゃっぴきのオニからも まもると<br>いいつたえられてる ひじょうに<br>ぼうぎょりょくの たかいたて<br><end><cF0:02>	
899	13:$59FA	49	こうぼうぎょだが こうげきをうける<br>たびに せいのうがさがっていくたて<br><cF0:02><br> <end>	
900	13:$5A2C	26	ばくはつのダメージを すくなくするぞ<br><end><cF0:02>	
901	13:$5A47	23	アイテムや おかねを ぬすまれないぞ<br><end><cF0:02>	
902	13:$5A5F	28	フウマのたてを きたえぬいて<br>できた たて<br><cF0:02><br> <end>	
903	13:$5A7C	86	むかし マムルのごせんぞさまが<br>つよくなるために つくったといわれる<br>でんせつのたて<br> <brk>しかし マムルたちには そうび<br><end>できなかったので あきらめたらしい	
904	13:$5AD3	23	<cF0:03> みずのうえを<br>あるけるようになるぞ<end>	
905	13:$5AEB	24	<cF0:03> みせで ねぎることが<br>できるぞ<end>	
906	13:$5B04	16	<cF0:03><br>おなかが へらないぞ<end>	
907	13:$5B15	19	<cF0:03><br>おなかが へりやすくなるぞ<end>	
908	13:$5B29	45	<cF0:03> HPのかいふくが<br>はやくなるぞ しかし<br>そのあいだ はらへりもはやいぞ<br> <end>	
909	13:$5B57	21	<cF0:03><br>けんも たても サビなくなるぞ<end>	
910	13:$5B6D	26	<cF0:03><br><end>かいしんのいちげきが でやすくなるぞ	
911	13:$5B88	25	<cF0:03> つうこんのいちげきを<br>うけやすくなるぞ<end>	
912	13:$5BA2	33	<cF0:03> もっているものに<br><end>のろいをかけられることが なくなるぞ	
913	13:$5BC4	26	<cF0:03> なげたものがすべて<br>かんつう するぞ<end>	
914	13:$5BDF	33	<cF0:03> てきを たおしたときの<br>けいけんちが すこし ふえるぞ<end>	
915	13:$5C01	24	<cF0:03> もっているアイテムを<br>おとしてしまうぞ<end>	
916	13:$5C1A	27	<cF0:03> モンスターと<br>アイテムの いちが わかるぞ<end>	
917	13:$5C36	16	<cF0:03><br>こんらん しなくなるぞ<end>	
918	13:$5C47	26	<cF0:03> ひろったアイテムが<br>しきべつできるぞ<end>	
919	13:$5C62	21	<cF0:06><br>こうげきできるぞ<brk><cF0:07><br><end><cF0:08>	
920	13:$5C78	25	<cF0:06><br>かんつうこうげきできるぞ<brk><cF0:07><br><end><cF0:08>	
921	13:$5C92	24	たべると すこしおなかが ふくれるぞ<br> <end>	
922	13:$5CAB	21	たべると おなかが ふくれるぞ<br> <end>	
923	13:$5CC1	43	たべると おなかが すこしふくれるが<br>どくで からだをこわしてしまうぞ<end>	
924	13:$5CED	52	たべると おなかが いっぱいになるぞ<br>さいだいまんぷくども すこしだけ<br>ふえるぞ<br> <end>	
925	13:$5D22	51	たべると すこしおなかが ふくれるぞ<br>とくべつなちからを みにつけられる<br>こともあるぞ<br> <end>	
926	13:$5D56	24	のむと HPがすこし かいふくするぞ<br><end><cF0:04>	
927	13:$5D6F	46	のむと HPがたくさんかいふくするぞ<br>とくしゅな じょうたいも なおるぞ<br><cF0:04><br> <end>	
928	13:$5D9E	21	のむと レベルが あがるぞ<br><end><cF0:04>	
929	13:$5DB4	22	のむと ワナが はっけんできるぞ<br> <end>	
930	13:$5DCB	35	のむと くちから ひをふくぞ<br>とおくまで とどくぞ<br><cF0:04><br> <end>	
931	13:$5DEF	21	のむと しばらく むてきになるぞ<br> <end>	
932	13:$5E05	23	のむと レベルが5つ あがるぞ<br><end><cF0:04>	
933	13:$5E1D	55	もっていると 1どだけ いきかえる<br>ことができるぞ<br>ツボのなかにいれていると ダメだぞ<br> <end>	
934	13:$5E55	25	のむと レベルが さがってしまうぞ<br><end><cF0:04>	
935	13:$5E6F	26	のむと レベルが3つさがってしまうぞ<br><end><cF0:04>	
936	13:$5E8A	30	のむと レベルもHPも<br>1に なってしまうぞ<br><cF0:04><br> <end>	
937	13:$5EA9	25	のむと しきべつしたものを<br>わすれてしまうぞ<end>	
938	13:$5EC3	23	のむと さいだいHPが あがるぞ<br> <end>	
939	13:$5EDB	26	のむと さいだいまんぷくどが<br>あがるぞ<end>	
940	13:$5EF6	26	のむと さいだいまんぷくどが<br>さがるぞ<end>	
941	13:$5F11	38	のむと すこしのあいだ<br>すばやく うごけるように なるぞ<br><cF0:04><br> <end>	
942	13:$5F38	59	のむと ちからが あがるぞ<br>ちからが マンタンなときに のむと<br>ちからのさいだいちが 1あがるぞ<br> <end>	
943	13:$5F74	34	のむと ちからが さいだいちまで<br>かいふくするぞ<br><cF0:04><br> <end>	
944	13:$5F97	44	のむと ちからとHPがさがってしまい<br>うごきも おそくなってしまうぞ<br><cF0:04><br> <end>	
945	13:$5FC4	19	のむと こんらんしてしまうぞ<br><end><cF0:04>	
946	13:$5FD8	23	のむと しばらく ねむってしまうぞ<br><end><cF0:04>	
947	13:$5FF0	36	ただの ざっそうだぞ<br><end>のめば すこしは はらのたしになるぞ	
948	13:$6015	27	のむと どこかへ とぶことができるぞ<br><end><cF0:04>	
949	13:$6031	27	よむと そうびしているものの<br>のろいがとけるぞ<end>	
950	13:$604D	25	よむと アイテムが しきべつできるぞ<br> <end>	
951	13:$6067	44	よむと いまいるばしょの ちけいと<br>モンスターやアイテムの いちが<br>わかるぞ<br> <end>	
952	13:$6094	20	よむと ツボがおおきくなるぞ<br> <end>	
953	13:$60A9	42	よむと へやにいる すべての<br>モンスターに ダメージをあたえるぞ<br><cF0:0B><br> <end>	
954	13:$60D4	30	よむと いまいる ちけいでは<br>くちがつかえなくなるぞ<end>	
955	13:$60F3	99	よむと そうびひんを もったまま<br>ツキカゲむらへ かえれるぞ<br>ただし ふたりどうじには ムリだぞ<br> <brk>コッパは、シレンの にもつのなかに<br><end>かくれるので いっしょに かえれるぞ	
956	13:$6157	23	こまったときに よむと<br>いいことがあるぞ<end>	
957	13:$616F	27	よむと モンスターのうごきが<br>2ばいになるぞ<end>	
958	13:$618B	67	よむと へやにいる すべての<br>モンスターが しばらく ねむって<br>しまうぞ<brk>ねむりからさめると ばいそくになるぞ<br><cF0:0B><br> <end>	
959	13:$61CF	45	よむと いまいる ちけいでは<br>モンスターに あたえる ダメージが<br>ふえるぞ<br> <end>	
960	13:$61FD	28	へやにいるすべてのモンスターが<br>しょうめつするぞ<end>	
961	13:$621A	92	よむと すさまじい しょうげきはで<br>ちかくにいるすべてのモンスターが<br>こなごなに ぶんかいするぞ<br> <brk>じぶんは たおれないが<br>うけたダメージは おおきいぞ<end>	
962	13:$6277	22	よむと おおべやに なってしまうぞ<br> <end>	
963	13:$628E	24	よむと モンスターハウスが できるぞ<br> <end>	
964	13:$62A7	56	よむと へやにいる すべての<br>モンスターが しばらく こんらんして<br>まっすぐ あるけなくなるぞ<br><end><cF0:0B>	
965	13:$62E0	38	モンスターになげると そのしゅるいの<br>モンスターは でてこなくなるぞ<end>	
966	13:$6307	22	よむと マップを わすれてしまうぞ<br> <end>	
967	13:$631E	35	よむと そうびしている けんが<br>つよくなり のろいも とけるぞ<end>	
968	13:$6342	35	よむと そうびしている たてが<br>つよくなり のろいも とけるぞ<end>	
969	13:$6366	51	よむと そうびしている けんとたてが<br>メッキされて サビなくなるぞ<br>のろいも とけるぞ<br> <end>	
970	13:$639A	24	よむと ツボのなかみを とりだせるぞ<br> <end>	
971	13:$63B3	32	よむと いまいる ちけいでは<br>アイテムを ひろえなくなるぞ<end>	
972	13:$63D4	28	<cF0:0C><br>ふつうのこうげきしか しなくなるぞ<br><cF0:05><br> <end>	
973	13:$63F1	29	<cF0:0C><br>モンスターをとおくへ ふっとばせるぞ<br><cF0:05><br> <end>	
974	13:$640F	31	<cF0:0C><br>モンスターのレベルがあがってしまうぞ<br><cF0:05><br> <end>	
975	13:$642F	29	<cF0:0C><br>モンスターのレベルを さげられるぞ<br><cF0:05><br> <end>	
976	13:$644D	31	<cF0:0C><br>モンスターをじぶんのみがわりにするぞ<br><cF0:05><br> <end>	
977	13:$646D	33	<cF0:0C><br>モンスターと じぶんの いちが<br>いれかわるぞ<br><end><cF0:05>	
978	13:$648F	24	<cF0:0C><br>いろいろなことが おきるぞ<br><cF0:05><br> <end>	
979	13:$64A8	59	<cF0:0C><br>モンスターを かなしばりにするぞ<br>こうかは ずっとつづくが たたいたり<br>すると おきるぞ<brk><cF0:05><br> <end>	
980	13:$64E4	44	<cF0:0C><br>モンスターを でぐちのところへ<br>ワープさせて かなしばりにするぞ<brk><end><cF0:05>	
981	13:$6511	43	<cF0:0C><br>じぶんの いたみをモンスターにも<br>かんじさせることができるぞ<br><end><cF0:05>	
982	13:$653D	23	ツボに アイテムを<br>だしいれできるぞ<end>	
983	13:$6555	58	じぶんが ツボのなかに はいれて<br>モンスターから かくれることが<br>できるぞ<br>なげても つかえるぞ<end>	
984	13:$6590	28	ツボにいれたアイテムを ふやせるぞ<br><cF0:09><br><cF0:0A><br> <end>	
985	13:$65AD	61	けんやたてを しばらく いれたままに<br>しておいて つよくできるぞ<br>つえは かいすうが ふえるぞ<brk><cF0:09><br><cF0:0A><br> <end>	
986	13:$65EB	31	ツボにいれたアイテムを<br>しきべつできるぞ<br><cF0:09><br><end><cF0:0A>	
987	13:$660B	23	おすと ステータスが かいふくするぞ<br> <end>	
988	13:$6623	28	ツボにいれた アイテムが<br>そうこに おくられるぞ<end>	
989	13:$6640	42	しばらく いれたままに しておくと<br>アイテムを よわくしてしまうぞ<br><cF0:09><br><end><cF0:0A>	
990	13:$666B	24	ツボにいれた アイテムが なくなるぞ<br> <end>	
991	13:$6684	15	これはモンスターだ！！<br> <end>	
992	13:$6694	30	ツボにいれたアイテムが へんかするぞ<br><cF0:09><br><cF0:0A><br> <end>	
993	13:$66B3	183	けん たて つえ をごうせいできるぞ<brk>けんを つづけていれると すべて<br>さいしょのけんに のうりょくや ＋の<br>つよさが ごうせいされるぞ<brk>だから いれるじゅんばんには<br>きをつけたほうが いいぞ<br>たても けんと おなじだぞ<brk>つえは おなじしゅるいを つづけて<br>いれれば つえを ふるかいすうが<br>ごうせいされるぞ<brk><cF0:09><br><end><cF0:0A>	
994	13:$676B	19	ぬすっトドが はいってるぞ<br> <end>	
995	13:$677F	1	 	
996	13:$6781	46	これは おかねだ<br>モンスターに なげても きくぞ<br>やはり よのなか かねしだい・・・	
997	13:$67B0	36	これは かさタヌキだ<br>まだ バレてないと おもっている<br>ようだ<end>	
998	13:$73BB	6	ア↓イ2アF	
999	13:$73C2	4	イまアF	
1000	13:$73C7	4	ウてアF	
1001	13:$73CC	4	エぅアF	
1002	13:$73D1	6	イミイまアF	
1003	13:$73D8	6	イ…イまアF	
1004	14:$4031	16	てんしゅ「いらっしゃいませ」<cE0:15>	
1005	14:$4042	20	てんしゅ「ありがとうございました」	
1006	14:$4057	55	てんしゅ「おきゃくさんがおかいあげ<br> になったアイテムのだいきんとして<br> <cE5>ギタンいただきます」<end><mode0>	
1007	14:$408F	28	<cEC:08><cE5>ギタンでよろしいですか？<br>▶かう<br> かわない	
1008	14:$40AC	28	<cEC:08><cE4>ギタンでよろしいですか？<br>▶かう<br> かわない	
1009	14:$40C9	50	てんしゅ「そうですか、それでは、<br> <cE4>ギタンにまけておきます。<br> これでよろしいですか？」	
1010	14:$40FC	46	てんしゅ「おきゃくさんがみせのなかに<br> おいたアイテムを、<br> <cE6>ギタンでかいとります」	
1011	14:$412B	28	<cEC:08><cE6>ギタンでよろしいですか？<br>▶うる<br> うらない	
1012	14:$4148	17	てんしゅ「それはザンネンです」	
1013	14:$415A	27	てんしゅ「おきゃくさん、おかねが<br> たりませんよ！」	
1014	14:$4176	47	てんしゅ「たいへんだ！<br>      おおべやだ！<br>       かいだんへいそげ！」	
1015	14:$41A6	18	<cEC:04>てんしゅは、ねむっている。<br> <br>	
1016	14:$41C2	24	<cEC:04>「 『ツキカゲむら いりぐち』  」<br><br>	
1017	14:$41DB	38	<cEC:04>「    やど と しょくじ<br>       『ととや』     」<br>	
1018	14:$4202	24	<cEC:04>「  『なきりゅうじんじゃ』   」<br><br>	
1019	14:$421B	57	<cEC:00>「   『りゅうの あぎと』<br> りゅう なきさけぶとき そのくち<br>    はじめて ひらくべし   」	
1020	14:$4255	94	     『ごみツボ』<br> すてたいアイテムは みぎがわの<br>  ごみツボに なげいれるべし。<end><brk> ただし いちど すてると にどと<br>  とりだせないので ちゅうい！	
1021	14:$42B7	54	かんぬし「わしは、たびするものに<br> いつも じょげんをあたえておる。<br> なにについて ききたい？」<end><mode0>	
1022	14:$42EE	20	かんぬし「なにについて ききたい？」<end><mode0>	
1023	14:$4303	37	<cEC:09>▶1：うごきかたについて<br> 2：「どうぐ」について<br> 3：そのた	
1024	14:$4329	55	<cEC:09>▶1：ダッシュしたいときは？<br> 2：ナナメにだけ あるくときは？<br> 3：むきだけを かえたいときは？	
1025	14:$4361	81	かんぬし「Bボタンを おしながら<br> <$A7>じボタンで ダッシュじゃ。<end><brk> また、Bボタンを おしながらだと<br> アイテムのうえにのることもできる」	
1026	14:$43B3	43	かんぬし「スタートを おしながら<br> <$A7>じボタンで ナナメにだけ<br> あるける」	
1027	14:$43DF	61	かんぬし「スタートをチョンッとおせば<br> <$AA>マークがでる。あとは <$A7>じボタン<br> で ほうこうを かえればよい」	
1028	14:$441D	51	<cEC:09>▶1：アイテムを えらびたいときは？<br> 2：せいとんしたいときは？<br> 3：やを うちたいときは？	
1029	14:$4451	132	かんぬし「Bボタンをチョンッとおして<br> 『どうぐ』をえらべば よい。<end><brk> <$A7>じボタンの さゆうで ページも<br> きりかわる。<end><brk> あと、アイテムの つかいかたは、<br> アイテムをえらんで Aボタンをおし<br> せつめいを みれば かいてあるぞ」	
1030	14:$44D6	40	かんぬし「『どうぐ』を ひらいている<br> ときに スタートを おすのじゃ」<br>	
1031	14:$44FF	59	かんぬし「『どうぐ』のなかの やを<br> そうびすれば、セレクトをおしながら<br> Aボタンで うてるんじゃ」	
1032	14:$453B	57	<cEC:09>▶1：はやく かいふくしたいときは？<br> 2：マップが みたいときは？<br> 3：ひとと いれかわりたいときは？	
1033	14:$4575	45	かんぬし「Aボタンと Bボタンを<br> どうじにおせば、はやくかいふく<br> できる」	
1034	14:$45A3	48	かんぬし「ダンジョンないの マップを<br> みるには、セレクトを チョンッと<br> おせばよい」	
1035	14:$45D4	59	かんぬし「ダンジョンにいる ひとや<br> なかまといれかわるには、Bボタンを<br> おしながら <$A7>じボタンじゃ」	
1036	14:$4610	39	「  『クヨウとうげ けいろず』<br>   どのみちを えらびますか？<end><mode0>	
1037	14:$4638	34	<cEC:09>▶やさしい （いまえらんでいるみち）<br> ふつう<br> むずかしい	
1038	14:$465B	35	<cEC:09>▶やさしい<br> ふつう  （いまえらんでいるみち）<br> むずかしい	
1039	14:$467F	33	<cEC:09>▶やさしい<br> ふつう<br> むずかしい（いまえらんでいるみち）	
1040	14:$46A4	13	<cEC:0E>▶すすむ<br> そのまま<br>	
1041	14:$46B5	11	▶すすむ<br> そのまま<br>	
1042	14:$46C1	11	▶おりる<br> そのまま<br>	
1043	14:$46CD	12	▶あがる<br> そのまま<br>	
1044	14:$46EC	21	<cF4><cF2><cF0><name>は かぜにとばされた<br><cF3><mode1>ッ<mode0>	
1045	14:$4702	19	「おーい だれか たすけてくれー！」	
1046	14:$4716	19	いどの なかから こえがきこえる。	
1047	14:$472A	27	「おーい！ ここの なかだよ！<br> たすけてくれー！」	
1048	14:$4746	32	<name>は わきにあった つなで<br>いどのなかから たすけだした。	
1049	14:$4767	109	コッパ「ふいーっ。おてんとさまを<br> おがめたのは なんにちぶりだろう。<br> たすかったぜ。おっ！・・・<end><brk> <nop>、<name>じゃないか！<end><br> いままで どこいってたんだよ！<br> さびしかったよぉ！ うおおーん！」	
1050	14:$47D5	66	<cE0:00><mode1>1<cE0:28><name>は コッパと さいかいした！<mode1>ッ<end><br>・・・ひさしぶりだからかもしれないが<br>たしかに すこし くさい きもする。	
1051	14:$4818	193	コッパ「・・そんなことがあったのか。<br> いけにえにされた おんなのこを<br> たすけにねえ・・・<end><brk> オイラは ふしぎなへんそくちけいが<br> ここにあるって きいてね・・いけば<br> <name>にあえると おもってさ」<end><brk>コッパ「けど このさきの<br> 『りゅうの あぎと』は とおれない<br> から まいっちゃうよな。<end><brk> まっ もう よるだし きょうの<br> ところは ねようぜ。<end>おやすみ」	
1052	14:$48DA	42	コッパ「ちょっと『りゅうの あぎと』<br> を しらべてから ここをでようぜ」	
1053	14:$4905	410	「   『りゅうの あぎと』<br> りゅう なきさけぶとき そのくち<br>    はじめて ひらくべし   」<end><brk>コッパ「りゅう なきさけぶ・・ねえ。<end><brk> ・・・・・・あれ？<end><br> そういえば ツキカゲむらの<br> じんじゃの なまえって・・・！<end><brk>コッパ「<name>！<end> むらにもどろう！<end><br> あのむら ぜったいヘンだよ！<end><brk> だって クヨウとうげで かいぶつに<br> やられたら <name>は むらに<br> もどされるんだろ？<end><brk> だったら そのナギというコだって<br> やられるだけで むらに かえって<br> これるハズじゃないのか？<end><brk> なのに むらびとは なんだって<br> 『にどと かえってこれねえ』<br> なんていうんだよ？<end><brk>コッパ「いけにえのシキタリ。<end><br> むらでみたっていうコドモせんしゃ。<end><br> そして あのじんじゃ・・・<end><brk> ツキカゲむらには ぜったい<br> ひみつがあるぜ」	
1054	14:$4AA0	37	コッパ「なんとなく きちゃったけど<br> やっぱ あいてないよな・・・」	
1055	14:$4AC6	12	ヨシゾウタ「よおっ！」	
1056	14:$4AD3	60	ヨシゾウタ「おれだ。ヨシゾウタだよ。<br> クスリうりの・・・<end>このまきものを<br> よめば ここ あくンだよね？」	
1057	14:$4B10	51	<cEC:09>▶なんで あんたが まきものを？<br> なんで あんたが ここに？<br> まあ どうでもいっか	
1058	14:$4B47	157	ヨシゾウタ「いや、じつは あんたと<br> むらおさのはなしを そとから<br> ぜんぶ きいちゃってさ、<end><brk> で、おもしろそうだったんで つい<br> じんじゃのまきものをとって さきに<br> きちゃったんだけど・・・<end><brk> ひとりでいくの こわそうでさ、<br> で、あんたがくるのを まってた<br> ってワケよ」	
1059	14:$4BE5	16	ヨシゾウタ「じゃ よむぜ」	
1060	14:$4BF6	24	ヨシゾウタは なきりゅうのまきものを<br>よんだ	
1061	14:$4C0F	87	ヨシゾウタ「おおっ！ あいた！<end><br> ・・・ううっ、やっぱり おっかな<br> そうな ところだな。<end><brk> あんた さきに いっててくれよ。<br> おれは あとから おいつくからよ」	
1062	14:$4C67	19	コッパ「オロチって<end> どこだ？」	
1063	14:$4C7B	13	ヨシゾウタ「ここだよ」	
1064	14:$4C89	125	ヨシゾウタ「おれが オロチなんだよ。<mode1>と<end><brk> <cF4><cE0:05>むらのやつらは かいぶつなんて<br> いってるが じょうだんじゃねえ。<end><br> おれは ちゃんとした にんげんだ。<end><brk> かいぶつなのは あいつらのほうさ。<br> あんたらも みただろ？」	
1065	14:$4D07	17	コッパ「・・・・・・・・・・・」	
1066	14:$4D19	503	ヨシゾウタ「いろいろなことが おきる<br> へんそくちけい・・・<end><brk> おれは このだいちの ちからを<br> わがものにするために ここへ<br> きたんだ。<end><brk> おれのつくった このクスリ・・・<br> これを ツキカゲむらのやつらに<br> のませたら どうなるとおもう？<end><brk> かいぶつになったままもどれなくなり<br> しかも おれさまの いうことだけを<br> きくように なるのさ。<end><brk> ただ おとなは うまく いかないん<br> だな。それで こどものいけにえって<br> ワケだ。<end><brk> もうすこしだった・・・もうすこしで<br> この どうくつも かんせいしたと<br> いうのに・・・・・<end><brk> なぜ あんたは たすけようとする？<end><br> あんな かいぶつどものむらの<br> ためにッ！<end><brk> かいぶつを たすけるために<br> にんげんである このおれを<br> たおそうというのかッ！<end><brk> ・・・・・・・・・・・・<end><br> ここに またべつのクスリがある。<end><brk> こどもたちから いきちを すこし<br> ずつ あつめてつくったクスリだ。<end><brk> これを にんげんがのむと<br> どうなると おもう？<end><br> みせてやるぜッ！！！」	
1067	14:$4F11	36	<cF0>クスリをのんだヨシゾウタは<br>オロチに へんしんしたッ！！<br><cF3><mode1>と<mode0>	
1068	14:$4F36	21	ヨシゾウタは クスリをのんだ！<mode1>ぇ<cE7><mode0>	
1069	14:$4F4C	66	オロチ「・・・たとえ このばで<br> ちからつきようとも、<end><brk> オロチは なんどでも ふっかつ<br> しようぞ・・・クックックッ」	
1070	14:$4F8F	41	コッパ「へッ！ ここまで くりゃ<br> あんたもじゅうぶん かいぶつだよ」	
1071	14:$4FB9	34	コッパ「フミちゃん・・・だね。<br> たすけにきたんだ。かえろう」	
1072	14:$4FDC	90	<cF2><cF0><cF1><cF4>  こうして <name>たちは<br>     オロチをたおし、<mode1>F<brk>こんどは、ふたたび ツキカゲむらに<br>  もどるための ぼうけんへと<br>   いどむのであった・・・<mode1><cF0><mode0>	
1073	14:$5037	15	ケヤキ「あっ きがついた！」	
1074	14:$5047	190	おかみ「だいじょうぶかい・・・<br> ひどく うなされていたから<br> しんぱいしたよ。<end><brk> ここ？・・・ここは ツキカゲむら。<br> あなた クヨウとうげで かいぶつに<br> やられたんだろ？<end><brk> あそこで ちからつきたら ここに<br> おいだされるんだよ。<end><brk> それより ケヤキちゃんに おれい<br> をいいなよ。あなたのこと ずっと<br> カンビョウしてくれてたんだよ」	
1075	14:$5106	32	ケヤキ「そんな おれいなんて・・・<end><br> ・・・けど よかった」	
1076	14:$5127	30	ケヤキ「おかみさん。わたし<br> ちょっと でかけてきますね」	
1077	14:$5146	140	おかみ「ケヤキちゃんのことかい？<end><br> よしてよ あたしのコじゃないよ。<br> あたしゃ まだドクシンだよ。<end><brk> あのコ たまにここに フラッと<br> やってきちゃ みせを てつだって<br> くれるんだよ。<end><brk> ちょっと かわったところもあるけど<br> いいコだよ。あのコは・・・」	
1078	14:$51D3	10	ケヤキ「<name>さーん！」	
1079	14:$51DE	52	ケヤキ「ハアハアハア・・・よかった<br> まにあって・・・<end><brk> たすけに いくんでしょ？<br> はい これ！」	
1080	14:$5213	12	<name>は <cE3:05>を もらった。	
1081	14:$5220	62	ケヤキ「うらやま までいって とって<br> きたの。 けっこう じかんが<br> かかっちゃって・・・<end><brk> がんばってね！」	
1082	14:$525F	33	ケヤキ「・・・だいじょうぶ？<end><br> あまり ムリしないでね」	
1083	14:$5281	18	おかみ「あたしゃ しんじているよ」	
1084	14:$5294	10	ケヤキ「<name>さーん！」	
1085	14:$529F	11	ケヤキ「はい これ！」	
1086	14:$52AB	12	<name>は<br><cE3:FE>を もらった。	
1087	14:$52B8	14	ケヤキ「がんばってね！」	
1088	14:$52C7	148	おかみ「ケヤキちゃん？<end><br> ケヤキちゃんなら じんじゃのほうへ<br> いったみたいだけど・・・<end><brk> きまぐれなコでさ、たまに フラッと<br> どこかへ いっちゃうんだよ。<br> ネコみたいにね。<end><brk> ・・・まっ とくに いそがしいわけ<br> でもないから いいけどさ。<br> きゃくもいないし」	
1089	14:$535C	34	ケヤキ「<name>さん？<end> ちょっと<br> まっててね。もうすぐ おわるから」	
1090	14:$537F	12	ケヤキ「よし<end> おわり」	
1091	14:$538C	70	ケヤキ「ここのじんじゃって ちょっと<br> かわっているでしょ？<end><brk> ツキカゲむらは リーバしんこうじゃ<br> ないの。だから・・・」	
1092	14:$53D3	39	ケヤキ「え？ なんの おねがい<br> してたかって？<end><br> ・・ふふっ、ナイショ」	
1093	14:$53FB	35	ケヤキ「それより あの・・・<br> たのみがあるんだけど・・いい？」	
1094	14:$541F	31	<cEC:08> たのみがあるんだけど・・いい？<br>▶いいよ<br> ダメ	
1095	14:$5442	14	ケヤキ「いじわるね・・・」	
1096	14:$5451	54	ケヤキ「じつは このネコを しばらく<br> あずかっててほしいの。<end><br> タンモモっていうの。よろしくね！」	
1097	14:$5488	22	<cE0:28>ネコのタンモモが なかまになった。<mode1>ッ	
1098	14:$549F	52	ケヤキ「Bボタンを おしながら<br> <$A7>じボタンで、タンモモと<br> いれかわることが できるわ」	
1099	14:$54D4	12	ケヤキ「ん？ なあに？」	
1100	14:$54E1	56	<cEC:09>▶タンモモって きみがかってるの？<br> なんで タンモモっていうの？<br> タンモモと いれかわりたいときは？	
1101	14:$551D	68	ケヤキ「ううん。さっき じんじゃ<br> のウラで ひろったの。<end>こごえてて<br> かわいそうだったから・・・<end><brk> じゃ よろしくね」	
