# Shiren GB — translation file. Keyed on `loc`, one string per line.
#
# READ `TRANSLATING.md` FIRST. It covers the three storage classes, the measured
# per-renderer Dot Gothic limits, the character set, control tokens, and every error
# build/worklist.tsv can print. `VWF_BUDGETS.md` is the canonical fit register.
#
# KEY IS `loc` (bank:$addr), never the sequential id: ids are reassigned by sorted
# offset, so any change to extraction silently shifts an id-keyed file by one entry.
#
# Length: these are almost all table-referenced, so storage is not the limit — the tool
# relocates them. Display limits are measured per path: pixels, source staging, temporary
# tiles, and runtime substitutions. Do not infer one universal character/cell budget.
#
# loc	english

# ---- title / file menu ----
11:$5330	Adventure
11:$5B87	Koppa: ...So then, hic.<end><brk> I thought, <name>'s in<br> danger!<end><brk> So I slashed Yoshizota with<br> my sword! Swish!
11:$5BD1	Gon: Wa-ha-ha-haaa!<end><brk> You're pretty good at telling<br> jokes!
11:$6275	Koppa:<mode1><$14> Let's go, <name>!<mode1><$78><mode0>
11:$628A	Masa:<mode1><$14> See you.<mode1><$28><mode0>
11:$629E	Rokuro:<mode1><$14> Thanks for<br> everything.<mode1><$28><mode0>
11:$62B0	Nagi:<mode1><$14> Take care!<mode1><$28><mode0>
11:$62C3	Chief:<mode1><$14> Take care out there.<mode1><$28><mode0>
11:$62D5	<mode1><$3C>Keyaki:<mode1><$14> Good luck on your<br> next adventure!<mode1><$82><mode0>
11:$632D	Rokuro: Oh, an outsider...
11:$6340	Tagura: Mister, where'd ya<br> come from?
11:$6359	Gon: Koppa? Never heard of<br> him.<end><brk> Urgh... Were you supposed to<br> meet him in this village?
11:$6391	Pochi: Woof! Woof woof!
11:$639F	Fumi's Mom: I know it's<br> tradition, but...<end><brk> Why does it have to be my<br> daughter...?
11:$63C7	Chief: It pains me, but you<br> must give up on Fumi.
11:$63ED	Kinji: No one stands a chance<br> against Orochi. There's<br> nothing we can do.
11:$6415	Nagi: Damn it!
11:$6421	Chief: Ah! Nagi!!
11:$6431	Kinji: This is hard on him,<br> too.<end><brk> He and Fumi were best<br> friends.
11:$6465	Fumi's Mom: Ohhh...
11:$6473	Kinji: Damn it, if it weren't<br> for Orochi, none of this<br> would have happened...
11:$649A	Chief: This village is ruled<br> by a monster called Orochi.<end><brk> Once a year we must offer<br> up a young child as a<br> sacrifice.
11:$64EE	Rooster: Cock-a-doodle-doo!
11:$64FA	Innkeeper: Oh, a guest?<end><brk> Oh, you're not? What a<br> shame. We almost never get<br> visitors from outside.<end><brk> To be honest, I'm bored out<br> of my mind...
11:$6547	Old Seer: Orochi lives at Kuyo<br> Pass,<end><brk> along with the monsters that<br> serve him.
11:$657B	Masa: Up ahead is a<br> dangerous place called Kuyo<br> Pass.<end><brk> If you're determined to go,<br> stop at the shrine first.<end><brk> The Shrine Priest can teach<br> you a few things.<end><brk> Kuyo Pass also splits into<br> three roads.<end><brk> Check the map on that sign<br> to choose one.
11:$662C	Masa: Before heading out,<br> you should talk to a few<br> more villagers.<end><brk> Kuyo Pass splits into three<br> roads.<end><brk> Check the map on that sign<br> to choose one.
11:$66A7	Rokuro: W-we've got trouble!!
11:$66BA	Rokuro: Nagi! Nagi's gone!<end><brk> I've looked everywhere, but I<br> can't find him!
11:$66F1	Masa: Huh? I saw him here just<br> a minute ago...
11:$6713	Rokuro: No way... Wait, I'm<br> sure of it!<end><brk> He went to rescue Fumi!
11:$6745	Chief: Foolish boy! He'll only<br> become monster food!<end><brk> He can't have gone very far<br> yet!<end><brk> If someone goes after him<br> now, they may still catch<br> him...
11:$67A8	Masa: N-not me...<end><brk> Even if Nagi is the Village<br> Chief's grandson,<end><brk> I'm not going up there!
11:$67E4	Rokuro: If the monsters get<br> him up there, it's over.<end><brk> He'll never come back.<end><brk> There's nothing we can do<br> but give up.
11:$6826	Innkeeper: Honestly, doesn't<br> this village have any real<br> men?!<end><brk> You're all pathetic!
11:$6856	Innkeeper: Y-you! Are you<br> going to rescue Nagi?!
11:$6875	Masa: Take my advice. You'd<br> better not.
11:$689B	Rokuro: Hey, if the guy wants<br> to go, why stop him?<end><brk> Let him go.<end><brk> Must be nice being an<br> outsider.<end><brk> Even if a monster gets him,<br> he'll just be sent back<br> here...<end><brk> Unlike us...
11:$690F	Chief: That's enough, Rokuro!!
11:$6921	Rokuro: ...
11:$692B	Innkeeper: Wanderer...
11:$693C	Chief: Rokuro... You've said<br> too much.
11:$695A	Stray Cat: Mew.
11:$6963	Keyaki: Um... are you a<br> traveler?<end><brk> If you need a place to stay,<br> there's one just down the<br> road.<end><brk> It's called the Totoya.
11:$69AC	Keyaki: Um, excuse me!...
11:$69BA	Keyaki: ...N-no, never mind.<br> I'm sorry.
11:$69D8	Innkeeper: Good morning.<end><brk> You were sleeping like a log.<br> You must've been exhausted.<end><brk> By the way, you have a<br> visitor.<end><brk> He asked me to get him when<br> you woke up. See that man<br> over there?
11:$6A42	Yoshizota: I heard you made it<br> back from Kuyo Pass. That's<br> pretty impressive.<end><brk> Come on, have a drink with<br> me.
11:$6A81	<name> got to talking with<br> the stranger.
11:$6A97	Yoshizota: Name's Yoshizota.<end><brk> I travel the country selling<br> medicine.<end><brk> I stop by this village now<br> and then.<end><brk> So, you're going to rescue<br> Fumi next, right?
11:$6B04	Yoshizota: I hear Orochi's a<br> tough one, but I bet you'll<br> find a way.<end><brk> Good luck!
11:$6B3B	Yoshizota: I've really taken a<br> liking to you. Let's grab<br> another drink sometime!
11:$6B69	Fumi's Mom: Ohhh...
11:$6B77	Nagi: It will be all<br> right, missus.<end><brk> This fellow here will<br> save her, I know it!<br> Right!<end><mode0>
11:$6BB2	Chief: Thank you so much. I<br> never thought I'd see Nagi<br> alive again...
11:$6BDF	Chief: What? Yoshizota?<end><brk> H-he's here in the village?!
11:$6C04	Chief: ..........
11:$6C15	Gon: W-what? Koppa's a<br> weasel?! Then I did see him.<end><brk> A few days before you<br> arrived.<end><brk> A weasel that looked like he<br> stank walked right past me.<end><brk> That's the only time, but he<br> was heading...<end><brk> toward Kuyo Pass. Urgh...
11:$6CBE	Rokuro: Tch! Don't get cocky<br> just because you saved<br> Nagi.
11:$6CE4	Tagura: Papa, where did Nagi<br> go?
11:$6D05	Masa: You... You're pretty<br> good. I have to admit, I'm<br> impressed.
11:$6D2B	Old Seer: About 15 floors from<br> Moonlight Village<end><brk> lies a place called Dragon's<br> Maw.<end><brk> Orochi is another 6 floors<br> beyond that.<end><brk> In other words, about 21<br> floors from the village.<end><brk> You're wondering why I'm<br> telling you this?<end><brk> I'm starting to think you<br> might actually do something<br> about it...
11:$6DF5	Keyaki: <name>! Wait!
11:$6E00	Keyaki: Now it's finally time<br> to save Fumi.<end><brk> Here, take this!
11:$6E21	<name> received <cE3>6.
11:$6E2E	Keyaki: Good luck! ...Oh.
11:$6E42	Kinji: Hey.<end><brk> Take this.
11:$6E58	<name> received <cE3>3.
11:$6E64	Kinji: It's my dinner, okay?<br> Don't tell the others.
11:$6E94	Keyaki: Even Kinji's cheering<br> you on...<end><brk> That makes me happy.
11:$6EB9	Chief: N-Nagi? ...No luck<br> after all?<end><brk> At a child's pace, he must be<br> about 10 floors in by now...<end><brk> The monsters around there<br> are fearsome...<end><brk> Oh, I'm so worried...
11:$6F44	Gon: Urgh... No, I haven't<br> seen him.<end><brk> This Koppa fellow.<end><brk> Maybe he went to another<br> village?
11:$6F8B	Rokuro: Tch! Got sent back,<br> huh? I knew you couldn't do<br> it!<end><brk> Going up there is a waste of<br> time.
11:$6FC6	Tagura: Hey, where did Fumi<br> go?
11:$6FE5	Masa: No one will blame you if<br> you can't save Nagi.<end><brk> You're an outsider, after<br> all.
11:$7022	Kinji: Graaan, I'm hungry!
11:$703D	Old Seer: You just ate! Wait<br> until dinner.
11:$7072	Old Seer: This village is<br> burdened with a cursed fate.
11:$709C	Rokuro: You... Why do you<br> keep doing this?<end><brk> There's nothing in it for<br> you.<end><brk> ...Well, if you're determined<br> to go, I won't stop you.<end><brk> But I'll tell you one thing.<end><brk> Kuyo Pass splits into three<br> roads.<end><brk> Check the map on that sign<br> to choose one.
11:$7151	Kinji: Keyaki's so cute...<br> I... I...
11:$717E	Masa: Just because Keyaki's<br> nice to you,<end><brk> don't get the wrong idea.
11:$71B4	Old Seer: Defying Orochi was<br> impossible from the start.
11:$71DE	Kinji: Are you okay after that<br> fit?...<end><brk> You still look like you're in<br> pain.
11:$7216	Masa: ......<end><brk> I-I'm fine. It's finally<br> passing.
11:$7246	Fumi's Mom: Um... take<br> this.<end><mode0>
11:$7257	<name> received<br> <cE3>8.<end><mode0>
11:$7264	Fumi's Mom: Please... Please<br> save Fumi.
11:$7280	Chief: I have seen the weasel<br> you describe.<end><brk> He ran up the shrine steps<br> and continued toward Kuyo<br> Pass...
11:$72CE	Gon: Urgh... That smelly<br> weasel from the other day...<end><brk> So he's a friend of yours.<br> Urgh...
11:$730D	Rokuro: Hmph! I... I still<br> don't accept you.
11:$732C	Masa: Oh, it's you!<end><brk> ...Sorry. We're discussing<br> something important.
11:$7360	Kinji: Actually, we're going<br> to surpri...
11:$737F	Masa: Hey!!
11:$738E	Kinji: Whoops. It was supposed<br> to be a secret. Heh heh<br> heh...
11:$73B0	Masa: Heh heh heh heh...
11:$73C1	Masa: Come on, Kinji! Quit<br> slacking!
11:$73E5	Kinji: We have to hurry and<br> finish it!<end><brk> But I'm starving! I don't<br> have any strength left, bro.
11:$741D	Old Seer: Destiny, fate,<br> tradition...<end><brk> All of it is about to be<br> overturned.<end><brk> Orochi is formidable, yes...<end><brk> but the light I sense in you<br> shines brighter still.
11:$7493	Nagi: Big bro! I still want to<br> come with you!<end><brk> I'm going! You can't say no!<end><brk> ...Or so I thought, but<br> suddenly I have to pee really<br> bad!<end><brk> Go on ahead!<end><brk> ...Or so I thought, but now I<br> feel like I have to go, but I<br> can't.<end><brk> Hmm... What do I do?
11:$7535	Innkeeper: Keyaki still hasn't<br> come back.<end><brk> I wonder what happened.
11:$755F	Fumi's Mom: <name>... Um,<br> take this.
11:$7575	<name> received <cE3>2.
11:$7581	Fumi's Mom: I'm sorry this is<br> all I can do. But please...<br> save Fumi.
11:$75B3	Kinji: Keyaki's gone missing?<end><brk> Nooooooo!!
11:$75E1	Gon: Where could Keyaki have<br> gone?<end><brk> Urgh... And I secretly had my<br> eye on her, too.
11:$761C	Rokuro: Say <name>,<br> would this be of use?<end><mode0>
11:$7639	<name> received<br> <cE3>0.<end><mode0>
11:$7648	Rokuro: I found it lying in<br> the hills out back.<end><brk> It's no use to me, so you can<br> have it.
11:$7682	Tagura: Good luck! You have<br> to save Fumi!
11:$76A4	Chief: What! The scroll is<br> gone?<end><brk> It was definitely there<br> yesterday...<end><brk> Come to think of it, I heard<br> someone saw a figure last<br> night,<end><brk> heading toward Dragon's<br> Maw.<end><brk> Apparently they avoided the<br> Easy road and took Normal<br> or Hard.<end><brk> Why don't you try taking<br> Normal or Hard too?<end><brk> Maybe you'll find<br> something...<end><brk> Forgive me... That was<br> terribly irresponsible of me<br> to suggest...
11:$77A6	Nagi: I saw a weird shield by<br> the river the other day,<end><brk> but I had to pee so bad that<br> I went home without it.<end><brk> I'll grab it next time.
11:$7803	Old Seer: For the first time,<br> hope is growing<end><brk> among the villagers.<end><brk> Thanks to you, light is<br> finally beginning to reach<br> this village.
11:$785F	Masa: Leave items in the<br> Warehouse and you won't<br> lose them if you collapse.<end><brk> But everything inside a Pot<br> disappears, so be careful.<end><brk> You can only bring 5 items<br> on an adventure.<end><brk> Remember, Pots lose their<br> contents.
11:$78F6	Gon: Maybe Keyaki...<end><brk> didn't want <name> to see<br> her looking like a monster...<end><brk> Urgh... So that's why she's<br> hiding...
11:$7964	Kinji: I think Keyaki might<br> have feelings for <name>...<end><brk> Ugh, I'm so jealous...
11:$7998	Innkeeper: I'm sure Keyaki<br> will come back.<end><brk> She'll smile like nothing<br> ever happened.
11:$79CC	Fumi's Mom: Please... Please<br> save Fumi.
11:$79EA	Rokuro: Don't you lose to<br> Orochi.
11:$79FF	Nagi: Hey, I picked up that<br> shield I told you about<br> yesterday. Here.
11:$7A24	<name> received <cE3><$00>.
11:$7A31	Nagi: I'm not sure it'll help,<br> but you can have it.
11:$7A52	Masa: Hey, <name>.<end><brk> Kinji and I expanded the<br> Warehouse yesterday.<end><brk> Now you can store a lot more<br> items.<end><brk> Remember, you can only<br> bring 5 items on an<br> adventure,<end><brk> and Pots lose their contents,<br> so be careful.
11:$7AE2	Innkeeper: I'm sure Keyaki<br> will come back.<end><brk> She'll smile like nothing<br> ever happened.
11:$7B16	Gon: Keyaki... What a sweet<br> girl. Urgh...
11:$7B3C	Nagi: If only I were<br> stronger...
11:$7B58	Kinji: Gran, I got my heart<br> broken.<end><brk> Food...
11:$7B7F	Old Seer: At a time like this,<end><brk> aren't you normally too<br> upset to eat?
11:$7BB5	Kinji: ...Keyakiii! Waaaaah!<end><brk> Chomp chomp chomp chomp!
11:$7BE1	Masa: Hey, Kinji! Stop<br> stress-eating<end><brk> and help me work!<end><brk> We still have things to do!
11:$7C36	Masa: Hey, <name>! This is<br> the last thing I can do for<br> you.<end><brk> I expanded the Warehouse as<br> far as it'll go.<end><brk> That's the limit.<end><brk> You can still only bring 5<br> items on an adventure,<end><brk> and Pots lose their contents<br> if you try to take them...<end><brk> The rest is up to you,<br> <name>!<end><brk> It all comes down to your<br> skill. We're counting on you!
11:$7D0A	Kinji: Chomp chomp chomp<br> chomp!<end><brk> Chomp chomp chomp chomp!!<end><brk> Chomp chomp chomp chomp<br> chomp!!!
11:$7D50	Old Seer: In the end, all you<br> do is eat...
11:$7D79	Rokuro: Truth is, I have<br> something for you,<br> <name>...<end><brk> But <name>, you're<br> carrying 5 items or more,<end><brk> so I can't give it to you.<br> Forget it...

# ---- wrapped by tools/wrap_en.py ----
11:$537F	: Log:<$00>
11:$56C3	Fumi: ...Mom.<end><brk> Mooom!!
11:$5C03	Kinji: Get this weasel drunk<br> and he starts telling tall<br> tales!<end><brk> Wa-ha-ha-ha!
11:$5C35	Koppa: Wh-whaaat...? Hic. I'll<br> have you know... Hm?<end><mode0>
11:$5C58	<name>, where're you<br> going? Hic.<end><brk> Oh, gotta pee? Off you go!<br> Hic.
11:$5C86	Koppa: Hic. Now, where was I?<br> Oh, right.<end><brk> So then I equipped the Heavy<br> Shield...
11:$5CD2	Everyone: Wa-ha-ha-ha!
11:$5CE2	Chief: What? You mean the<br> monsters at Kuyo Pass?<end><brk> ...Hmm.<cE1><mode1><$3C><cE0:1A><end><brk> Chief: You may have already<br> realized this, <name>,<end><brk> but all of those monsters<br> were once children offered as<br> sacrifices.<end><brk> But you need not regret<br> defeating them.<end><brk> It's better than wandering<br> forever at Yoshizota's<br> command,<end><brk> unable to return to normal.<end><brk> Sending them to their final<br> rest is kinder.<end><brk> That's why we named it Kuyo<br> Pass, where the lost find<br> rest.<end><brk> ...You don't need to worry<br> about Keyaki.<end><brk> Wait a few days and she'll<br> always return.<end><brk> As long as our clan carries<br> this trait,<end><brk> there is nowhere else we can<br> live.<end><brk> Chief: Come, everyone is<br> waiting. Let's go back.
11:$5E8C	<cF2><cF0><cF1><cF4>And so the village celebrated<br> all night, its old custom<br> finally broken.<end><brk> The next morning...<mode1><$C8><mode1><$64><mode0>
11:$5ECB	Innkeeper:<mode1><$14> Do you really have<br> to leave the very next<br> day...?<mode1><$B4><end><brk> Wouldn't you like to stay a<br> little longer?<mode1><$C8><mode0>
11:$5F03	Koppa:<mode1><$14> I'm hungover, so I'd<br> be happy to stay,<end><brk> but my partner here...<mode1><$B4><end><brk> Still, <name>... What about<br> Keyaki?<end><brk> Are you really okay leaving<br> her?<mode1><$B4><mode0>
11:$5F60	Fumi's Mom:<mode1><$14> Thank you so<br> much for everything.<mode1><$B4><end><brk> Her speech seems to be<br> coming back, little by<br> little...<mode1><$B4><mode0>
11:$5FB6	Fumi:<mode1><$14> Mister...<mode1><$1E> thank you<br> for saving me...<mode1><$3C> Mwah!<mode1><$1E><mode0>
11:$5FE6	Rokuro:<mode1><$14> Take care.<mode1><$64><mode0>
11:$5FF9	Nagi:<mode1><$14> You two were<br> amazing!<mode1><$B4><mode0>
11:$6016	Masa:<mode1><$14> Come back sometime<br> and I'll build you a house.<mode1><$B4><mode0>
11:$6038	Priest:<mode1><$14> Hey!<mode1><$3C> You're late!<mode1><$B4><mode0>
11:$6057	Gon:<mode1><$14> Sorry... Pant, pant.<mode1><$B4><mode0>
11:$6071	Chief:<mode1><$14> Well then, take<br> care...<mode1><$3C> Hm?<mode1><$50><cE7><mode0>
11:$6094	Cat:<mode1><$14> Meow...<mode1><$78><mode0>
11:$60A4	Masa:<mode1><$14> A stray cat?<mode1><$B4><mode0>
11:$60B8	Innkeeper:<mode1><$14> Isn't that the<br> stray cat from the shrine?<mode1><$64><end><brk> We haven't seen her<br> lately...<mode1><$3C> She came back.<mode1><$DC><mode0>
11:$60FC	Gon:<mode1><$14> Urgh...<mode1><$1E><end><brk> Come to think of it, I<br> thought I heard a stray cat<br> at the shrine earlier...<mode1><$DC><mode0>
11:$613E	Koppa:<mode1><$14> <name>!<mode1><$3C> Could it<br> be?!<mode1><$64><cE7><mode0>
11:$6157	Innkeeper:<mode1><$14> Keyaki...<mode1><$B4><cE7><mode0>
11:$616C	Keyaki:<mode1><$14> I just had to see you<br> one more time<mode1><$1E>.<mode1><$1E>.<mode1><$1E>.<mode1><$64><end><brk> You're leaving now, aren't<br> you?<mode1><$B4><end><brk> <name>, you're a<br> Wanderer, after all.<mode1><$1E><end><brk> Your next adventure is<br> waiting for you.<mode1><$78> That's<br> why<mode1><$64>...<mode1><$C8><end><brk> Keyaki:<mode1><$14> ...Um<mode1><$1E>, take this!<mode1><$64><mode0>
11:$61FD	<name> received a Medical<br> Herb.<mode1><$B4><mode0>
11:$620F	Keyaki:<mode1><$14> The first thing I<br> gave you was a Medical Herb<br> too,<end><brk> wasn't it?<mode1><$B4><end><brk> Since you're starting a new<br> journey, I thought it would<br> be fitting...<mode1><$78><end><brk> Well<mode1><$1E>.<mode1><$1E>.<mode1><$1E>.<mode1><$1E> take care of<br> yourself!<mode1><$B4><mode0>
11:$62F6	<cF2><cF0><cF1>May Kron, god of travelers,<br> grant you fair winds!<mode1><$C8><mode0>
11:$6311	<cF4>Keyaki:<mode1><$14> ...Um<mode1><$1E>, take this!<mode1><$64><mode0>
11:$7DCC	Nagi: Hey, I picked up that<br> shield I told you about<br> yesterday.<end><brk> Here it is.<end><brk> ...Or it would be, but you're<br> carrying 5 items or more.<end><brk> So I can't give it to you.
14:$4031	Shopkeeper: Welcome!<cE0:15>
14:$4042	Shopkeeper: Thank you!
14:$4057	Shopkeeper: For the items<br> you've purchased,<end><brk> that will be <cE5> Gitan.<end><mode0>
14:$408F	<cEC:08><cE5> Gitan. Buy it?<br><$81>Buy<br> Cancel
14:$40AC	<cEC:08><cE4> Gitan. Buy it?<br><$81>Buy<br> Cancel
14:$40C9	Shopkeeper: I see.<end><brk> Then I'll lower the price to<br> <cE4> Gitan.<end><brk> Does that work for you?
14:$40FC	Shopkeeper: For the items you<br> left in the shop,<end><brk> I'll pay you <cE6> Gitan.
14:$412B	<cEC:08><cE6> Gitan. Sell it?<br><$81>Sell<br> Cancel
14:$4148	Shopkeeper: That's too bad.
14:$415A	Shopkeeper: You don't have<br> enough money!
14:$4176	Shopkeeper: Oh no!<end><brk> It's a Monster House!<end><brk> Hurry to the stairs!
14:$41A6	<cEC:04>Shopkeeper is asleep.<br> <br>
14:$41C2	<cEC:04>  Moonlight Village<br>      Entrance<br>
14:$41DB	<cEC:04>   Lodging and Meals<br>       The Totoya<br>
14:$4202	<cEC:04>   Dragon's Cry Shrine<br><br>
14:$421B	<cEC:00>    Dragon's Maw<br> When the dragon cries,<br> its maw first opens
14:$4255	      The Rubbish Pot<br> Throw unwanted items<br> into the pot on the right.<end><brk> Once thrown away,<br> it is gone for good.
14:$42B7	Priest: I give advice to<br> travelers. What would you<br> like to know?<end><mode0>
14:$42EE	Priest: What would you like to<br> know?<end><mode0>
14:$4303	<cEC:09><$81>1: About moving<br> 2: About Items<br> 3: Other
14:$4329	<cEC:09><$81>1: How do I dash?<br> 2: How do I move diagonally?<br> 3: How do I turn in place?
14:$4361	Priest: Hold B and press the<br> D-Pad to dash.<end><brk> Holding B also lets you step<br> onto an item.
14:$43B3	Priest: Hold Start and press<br> the D-Pad to walk only<br> diagonally.
14:$43DF	Priest: Tap Start to display a<br> marker. Then use the D-Pad<br> to change direction.
14:$441D	<cEC:09><$81>1: How do I select items?<br> 2: How do I sort items?<br> 3: How do I fire arrows?
14:$4451	Priest: Tap B and choose<br> Items.<end><brk> Press left or right on the<br> D-Pad to change pages.<end><brk> To use an item, choose it and<br> press A, then check its<br> description for instructions.
14:$44D6	Priest: Press Start while the<br> Items menu is open.
14:$44FF	Priest: Equip arrows from the<br> Items menu,<end><brk> then hold Select and press A<br> to fire.
14:$453B	<cEC:09><$81>1: How do I heal faster?<br> 2: How do I view the map?<br> 3: How do I swap places?
14:$4575	Priest: Press A and B together<br> to recover faster.
14:$45A3	Priest: Tap Select to view the<br> dungeon map.
14:$45D4	Priest: To swap places with a<br> person or companion in the<br> dungeon,<end><brk> hold B and press the D-Pad.
14:$4610	   Kuyo Pass Route Map<br> Which path will you take?<end><mode0>
14:$4638	<cEC:09><$81>Easy (current road)<br> Normal<br> Hard
14:$465B	<cEC:09><$81>Easy<br> Normal (current road)<br> Hard
14:$467F	<cEC:09><$81>Easy<br> Normal<br> Hard (current road)
14:$46A4	<cEC:0E><$81>Go on<br> Stay here<br>
14:$46B5	<$81>Go on<br> Stay here<br>
14:$46C1	<$81>Go down<br> Stay here<br>
14:$46CD	<$81>Go up<br> Stay here<br>
14:$46EC	<cF4><cF2><cF0><name> was blown away by<br> the wind.<cF3><mode1><$78><mode0>
14:$4702	Hey! Somebody help me!
14:$4716	A voice is coming from inside<br> the well.
14:$472A	Hey! I'm down here! Help me!
14:$4746	<name> used the rope<br> beside the well to pull him<br> out.
14:$4767	Koppa: Phew! How many days<br> has it been since I saw<br> daylight?<end><brk> You saved me. Oh!...<end><brk> <nop>, <name>!<end><brk> Where have you been?! I was<br> so lonely! Waaaaah!
14:$47D5	<cE0:00><mode1><$02><cE0:28><name> reunited with<br> Koppa!<mode1><$78><end><brk> ...Maybe it's just been a<br> while,<end><brk> but he definitely smells a<br> little.
14:$4818	Koppa: ...So that's what<br> happened.<end><brk> You're going to save a girl<br> offered as a sacrifice...<end><brk> I heard there was a strange<br> shifting land here,<end><brk> and figured I'd find you if I<br> came, <name>.<end><brk> Koppa: But Dragon's Maw up<br> ahead won't open, so we're<br> stuck.<end><brk> Well, it's already night.<br> Let's get some sleep. Good<br> night.
14:$48DA	Koppa: Let's check out<br> Dragon's Maw before we<br> leave.
14:$4905	Dragon's Maw<br> When the dragon cries,<br> its maw shall open<end><brk> Koppa: When the dragon<br> cries, huh.<end><brk> ...Wait.<end><brk> Come to think of it, the<br> shrine in Moonlight<br> Village...!<end><brk> Koppa: <name>! Let's go<br> back!<end><brk> Something's definitely wrong<br> with that village!<end><brk> Think about it. When a<br> monster defeats <name><br> at Kuyo Pass,<end><brk> you get sent back to the<br> village, right?<end><brk> Then if that kid Nagi gets<br> defeated,<end><brk> shouldn't he be sent back<br> too?<end><brk> So why do the villagers say<br> he'll never return?<end><brk> Koppa: The sacrifice<br> tradition.<end><brk> The Baby Tank you saw in<br> the village.<end><brk> And that shrine...<end><brk> Moonlight Village is<br> definitely hiding something.
14:$4AA0	Koppa: We came all this way,<br> but of course it's still<br> closed...
14:$4AC6	Yoshizota: Hey!
14:$4AD3	Yoshizota: It's me, Yoshizota.<br> The medicine seller...<end><brk> This place opens if I read<br> this scroll, right?
14:$4B10	<cEC:09><$81>Why do you have a scroll?<br> Why are you here?<br> Never mind
14:$4B47	Yoshizota: Well, the truth is,<end><brk> I overheard your entire<br> conversation<end><brk> with the Village Chief.<end><brk> It sounded interesting, so I<br> took the scroll from the<br> shrine<end><brk> and came on ahead...<end><brk> But going in alone looked<br> scary,<end><brk> so I waited for you to show<br> up.
14:$4BE5	Yoshizota: All right, I'll<br> read it.
14:$4C89	Yoshizota: I'm Orochi.<mode1><$1E><end><brk> <cF4><cE0:05>The villagers call me a<br> monster, but give me a<br> break.<end><brk> I'm a perfectly normal human.<end><brk> They're the real monsters.<end><brk> You saw them yourselves,<br> didn't you?
14:$4F11	<cF0>Yoshizota drank the drug and<br> turned into Orochi!!<cF3><mode1><$1E><mode0>
14:$4FDC	<cF2><cF0><cF1><cF4>And so, <name> and his<br> friends defeated Orochi,<mode1><$B4><end><brk> then set out on another<br> adventure<end><brk> to return to Moonlight<br> Village...<mode1><cF0><mode0>
14:$529F	Keyaki: Here, take this!
14:$56EF	<cE0:00><mode1><$02><cE0:27><name> can now use the<br> Warehouse!<mode1><$78><end><brk> You can store all kinds of<br> things there!<cE0:0C>
14:$5BF2	<cF2><cF0>Nagi: We made it...<mode1><$78><mode0>
14:$5C05	<cF2><cF1> And the next morning...<mode1><$78><mode0>
14:$5F2A	Kinji: Once you become an<br> adult, the fits stop,<end><brk> and you stay in control<br> even when transformed.<end><brk> Some people take a while to<br> change back, like my<br> brother...
14:$5F8B	Rokuro: Be careful Nagi and<br> Tagura don't attack you.<end><brk> Children lose control when<br> they transform.
14:$5FD1	Priest: We don't follow the<br> Reeva faith...<end><brk> but I'll still pray for<br> Kron's wind to guide you.
14:$6016	Innkeeper: Don't go looking<br> for Keyaki.<end><brk> I don't think she wants<br> <name> to see her...
14:$604A	<cEC:08>Search the offering box?<br><$81>Yes<br> No
14:$606A	<name> searched the<br> offering box.
14:$607C	Koppa: ...Was the scroll<br> there?<end><brk> What? It's gone?! No way!
14:$60A2	Innkeeper: <name>... It's<br> about Keyaki...<end><brk> She hasn't come back since<br> last night. I wonder where<br> she went.
14:$68FE	<cF4>Kinji: No, listen, the thing<br> is...
14:$698C	Keyaki: ......<end><brk> Hearing you say that...<br> makes me so happy...
14:$69B7	Kinji: When you really love<br> someone, you start picking<br> up their habits.
14:$69E5	Kinji: ...So Keyaki really<br> does have feelings for<br> <name>...<end><brk> But still...
14:$6A14	Keyaki: ...<name> isn't from<br> here.<end><brk> And he intends to leave<br> Moonlight Village...
14:$6A4E	Kinji: R-right.<end><brk> Sure, right now he's stuck<br> here because he can't get<br> out...<end><brk> But he defeated Orochi.<end><brk> I'm sure he'll escape<br> someday.<end><brk> And yet Keyaki always sees<br> him off with a smile...<end><brk> Why? She may never see him<br> again!
14:$6B01	Keyaki: ...I've thought about<br> going with him so many<br> times...<end><brk> But I'd probably only be a<br> burden, and besides...<end><brk> I can only survive in this<br> village...<end><brk> So I told myself to give up.<end><brk> To let him go and forget<br> everything...
14:$6BB5	Kinji: Keyaki always sees him<br> off with a smile, but...<end><brk> Deep down, she must...
14:$6BF4	Kinji: Oh, Keyaki!
14:$6C09	Kinji: Wow, that's amazing!<br> I'm moved!<end><brk> Now I love her even more!
14:$6C3E	Kinji: Women are incredible!<end><brk> She carries all those<br> feelings<end><brk> and can still smile so<br> brightly!<end><brk> I never had a chance, of<br> course...<end><brk> but I won't give up.<end><brk> One day I'll get her to look<br> my way...<end><brk> Just kidding.<end><brk> And thus ends the rambling<br> monologue of a foolish man<end><brk> who decided for himself what<br> a woman was feeling. The end.
14:$6D22	Kinji: Ahh, shouting that out<br> made me feel better!<end><brk> All right, time to go home.<end><brk> Home to... eat my feelings!!<cF3>
14:$6D6B	Kinji: Chomp chomp chomp<br> chomp!<end><brk> Chomp chomp chomp chomp!!<end><brk> Chomp chomp chomp chomp<br> chomp!!!
14:$6DB1	Kinji: ........
14:$6DC5	Koppa: Huh? Didn't you say<br> items don't work here?
14:$6DED	Keyaki: Hm? No. I didn't come<br> to bring you an item.
